Date,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds),Category
01/31/2019,3394,"Fisherman's Wharf, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",999.0,734.0,1359.0,1121.0,855.0,1469.0,1323.0,1041.0,1680.0,1046.0,872.0,1253.0,798.0,617.0,1033.0,612.0,279.0,941.0,1
03/28/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",511.0,323.0,809.0,420.0,321.0,551.0,721.0,493.0,1056.0,595.0,374.0,948.0,427.0,284.0,643.0,305.0,234.0,397.0,11
01/30/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1079.0,805.0,1448.0,445.0,425.0,1306.0,910.0,709.0,1489.0,634.0,690.0,784.0,1021.0,808.0,1290.0,506.0,333.0,461.0,10
03/21/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1267.0,1052.0,1526.0,1313.0,457.0,1106.0,1125.0,941.0,1540.0,1013.0,632.0,1356.0,1233.0,1045.0,1455.0,780.0,301.0,1081.0,10
03/30/2019,3394,"Fisherman's Wharf, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",998.0,766.0,1301.0,726.0,623.0,846.0,1110.0,829.0,1485.0,1025.0,813.0,1292.0,983.0,785.0,1230.0,774.0,658.0,910.0,1
02/25/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1346.0,1070.0,1692.0,354.0,899.0,738.0,1505.0,1174.0,1928.0,1169.0,474.0,1167.0,1140.0,1039.0,1250.0,484.0,304.0,667.0,10
01/28/2019,3394,"Fisherman's Wharf, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",898.0,674.0,1195.0,1250.0,928.0,1685.0,943.0,747.0,1191.0,924.0,775.0,1101.0,682.0,586.0,794.0,244.0,325.0,676.0,1
03/05/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1635.0,1144.0,2337.0,1692.0,1267.0,2261.0,1029.0,536.0,503.0,708.0,558.0,2103.0,451.0,862.0,974.0,1160.0,1018.0,1322.0,4
01/27/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",689.0,530.0,896.0,566.0,317.0,1665.0,698.0,566.0,861.0,739.0,561.0,974.0,542.0,467.0,630.0,547.0,425.0,702.0,9
03/21/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",838.0,571.0,1228.0,973.0,710.0,1335.0,1058.0,724.0,1546.0,810.0,576.0,1139.0,755.0,558.0,1021.0,536.0,411.0,698.0,9
03/07/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",545.0,334.0,889.0,539.0,340.0,854.0,633.0,440.0,909.0,774.0,469.0,1277.0,433.0,285.0,657.0,343.0,228.0,515.0,11
02/13/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1700.0,1260.0,2293.0,1825.0,1353.0,2461.0,1422.0,874.0,1461.0,1841.0,1583.0,2141.0,825.0,523.0,692.0,1220.0,1053.0,1414.0,4
01/30/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",841.0,602.0,1174.0,901.0,492.0,1131.0,1024.0,770.0,1363.0,783.0,563.0,1089.0,706.0,576.0,866.0,517.0,308.0,899.0,9
01/08/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",781.0,546.0,1118.0,1219.0,615.0,518.0,1029.0,734.0,1443.0,838.0,635.0,1107.0,655.0,482.0,891.0,556.0,422.0,732.0,9
03/23/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",450.0,278.0,728.0,405.0,260.0,630.0,397.0,270.0,583.0,472.0,278.0,803.0,483.0,308.0,760.0,388.0,248.0,606.0,11
01/25/2019,3394,"Fisherman's Wharf, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1078.0,780.0,1491.0,1093.0,809.0,1475.0,1491.0,1170.0,1901.0,1013.0,850.0,1207.0,834.0,668.0,1040.0,774.0,223.0,681.0,1
03/25/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1476.0,1140.0,1910.0,1378.0,1076.0,1764.0,1299.0,379.0,1038.0,1486.0,1223.0,1805.0,961.0,370.0,861.0,398.0,298.0,349.0,4
03/09/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1307.0,996.0,1715.0,679.0,711.0,1456.0,783.0,758.0,1562.0,1477.0,1115.0,1958.0,543.0,582.0,859.0,392.0,298.0,1102.0,10
02/08/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1632.0,1260.0,2114.0,1630.0,1376.0,1929.0,896.0,1070.0,961.0,722.0,622.0,879.0,935.0,1079.0,891.0,672.0,346.0,909.0,4
03/11/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1446.0,1161.0,1801.0,1512.0,1245.0,1836.0,1065.0,341.0,701.0,1339.0,1120.0,1601.0,834.0,571.0,1228.0,437.0,261.0,703.0,4
01/21/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1119.0,931.0,1345.0,1123.0,601.0,1483.0,1342.0,748.0,909.0,615.0,601.0,636.0,592.0,643.0,1040.0,434.0,250.0,556.0,10
03/12/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",485.0,311.0,755.0,436.0,321.0,592.0,681.0,410.0,1130.0,516.0,360.0,738.0,427.0,282.0,645.0,348.0,242.0,501.0,11
